Provincias;Tipología penal;Sexo;periodo;Total
Total Nacional;5.1.-Hurtos;Femenino;2022;7.679
Total Nacional;5.1.-Hurtos;Femenino;2021;5.747
Total Nacional;5.1.-Hurtos;Femenino;2020;5.289
Total Nacional;5.1.-Hurtos;Femenino;2019;5.352
Total Nacional;5.1.-Hurtos;Femenino;2018;5.667
Total Nacional;5.1.-Hurtos;Ambos sexos;2024;45.870
Total Nacional;5.1.-Hurtos;Ambos sexos;2023;40.651
Total Nacional;5.1.-Hurtos;Ambos sexos;2022;32.111
Total Nacional;5.1.-Hurtos;Ambos sexos;2021;23.089
Total Nacional;5.1.-Hurtos;Ambos sexos;2020;20.369
Total Nacional;5.1.-Hurtos;Ambos sexos;2019;18.080
Total Nacional;5.1.-Hurtos;Ambos sexos;2018;17.963
Total Nacional;5.2.-Robos con fuerza en las cosas;Masculino;2024;10.839
Total Nacional;5.2.-Robos con fuerza en las cosas;Masculino;2023;10.068
Total Nacional;5.2.-Robos con fuerza en las cosas;Masculino;2022;9.166
Total Nacional;5.2.-Robos con fuerza en las cosas;Masculino;2021;8.114
Total Nacional;5.2.-Robos con fuerza en las cosas;Masculino;2020;8.032
Total Nacional;5.2.-Robos con fuerza en las cosas;Masculino;2019;5.529
Total Nacional;5.2.-Robos con fuerza en las cosas;Masculino;2018;5.272
